variable,table,category,status,source,notes
R0_PackYears,,unassigned,pending,"DerivedVariables_Schema.json","number/null, minimum 0; calculated"
R0_PhysicalActivity,,unassigned,pending,"DerivedVariables_Schema.json","number/null, minimum 0; MET-hours/week, long x-description with per-domain formula"
R0_GreenVegDailyServings,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_FruitDailyServings,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_FamHistCancer,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null; x-derivedFrom points to legacy SAS scripts, not other schema fields"
R0_FamHistCancerNum,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0; legacy SAS derivation"
R0_FamHistBC,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null; legacy SAS derivation"
R0_FamHistBCNum,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0; legacy SAS derivation"
R0_FamHistOV,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null; legacy SAS derivation"
R0_FamHistOVNum,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0; legacy SAS derivation"
R0_FamHistColo,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null; legacy SAS derivation"
R0_FamHistColoNum,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0; legacy SAS derivation"
R0_FamHistProst,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null; legacy SAS derivation"
R0_FamHistProstNum,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0; legacy SAS derivation"
